Round, Client Index, Execution Time (s)
113, 0, 17.6463
113, 1, 10.1560
113, 2, 27.2641
113, 3, 6.4334
113, 4, 33.7686
114, 0, 17.7170
114, 1, 38.6521
114, 2, 24.2179
114, 3, 9.7946
114, 4, 31.7477
115, 0, 8.0023
115, 1, 33.9266
115, 2, 24.1589
115, 3, 17.6471
115, 4, 42.3878
116, 0, 27.7208
116, 1, 6.7276
116, 2, 10.4633
116, 3, 37.2927
116, 4, 20.2288
117, 0, 19.8152
117, 1, 13.3397
117, 2, 33.8252
117, 3, 25.9562
117, 4, 3.7676
118, 0, 39.3936
118, 1, 35.7055
118, 2, 9.0196
118, 3, 18.6826
118, 4, 28.2333
119, 0, 38.7275
119, 1, 13.1670
119, 2, 21.5635
119, 3, 6.3269
119, 4, 31.2844
120, 0, 24.0293
120, 1, 14.4549
120, 2, 33.7761
120, 3, 37.4758
120, 4, 7.6588
121, 0, 32.6228
121, 1, 7.8293
121, 2, 14.2741
121, 3, 21.1041
121, 4, 28.9261
122, 0, 27.1892
122, 1, 33.6035
122, 2, 17.4475
122, 3, 9.6638
122, 4, 23.5035
123, 0, 27.6144
123, 1, 42.3528
123, 2, 35.9473
123, 3, 20.1809
123, 4, 10.6486
124, 0, 25.0723
124, 1, 15.4492
124, 2, 41.3476
124, 3, 31.8749
124, 4, 7.6548
125, 0, 15.3080
125, 1, 23.5795
125, 2, 7.5591
125, 3, 29.9287
125, 4, 35.9283
126, 0, 21.1549
126, 1, 27.8605
126, 2, 8.0898
126, 3, 17.5171
126, 4, 37.4406
127, 0, 12.0130
127, 1, 8.3765
127, 2, 21.5208
127, 3, 28.2416
127, 4, 34.5825
128, 0, 31.7704
128, 1, 39.1088
128, 2, 16.1822
128, 3, 22.1881
128, 4, 9.4517
129, 0, 28.6247
129, 1, 22.6158
129, 2, 36.8876
129, 3, 13.0899
129, 4, 9.4578
130, 0, 29.9745
130, 1, 13.1071
130, 2, 7.1081
130, 3, 20.4485
130, 4, 39.5938
131, 0, 27.1611
131, 1, 17.6309
131, 2, 43.9450
131, 3, 9.9118
131, 4, 36.5911
132, 0, 19.5848
132, 1, 35.1439
132, 2, 9.6489
132, 3, 15.9604
132, 4, 26.8940
133, 0, 8.0454
133, 1, 33.9996
133, 2, 24.4500
133, 3, 11.6953
133, 4, 17.7151
134, 0, 29.7007
134, 1, 16.6125
134, 2, 7.0929
134, 3, 26.0531
134, 4, 39.3040
135, 0, 22.7927
135, 1, 7.0338
135, 2, 13.3682
135, 3, 30.1393
135, 4, 36.8647
136, 0, 36.9019
136, 1, 27.4805
136, 2, 17.9087
136, 3, 43.2457
136, 4, 8.4179
137, 0, 7.5181
137, 1, 23.2415
137, 2, 32.8657
137, 3, 26.8656
137, 4, 16.9208
138, 0, 13.5213
138, 1, 32.6167
138, 2, 39.9620
138, 3, 7.1832
138, 4, 23.0382
139, 0, 22.3265
139, 1, 25.9762
139, 2, 32.7213
139, 3, 8.6159
139, 4, 14.9663
140, 0, 40.8005
140, 1, 6.7550
140, 2, 16.3107
140, 3, 23.0338
140, 4, 31.2888
141, 0, 27.6381
141, 1, 19.3877
141, 2, 41.7051
141, 3, 9.8786
141, 4, 35.3621
142, 0, 7.4097
142, 1, 30.0671
142, 2, 11.0517
142, 3, 36.0797
142, 4, 20.4830
143, 0, 21.1247
143, 1, 32.4943
143, 2, 14.3840
143, 3, 8.0461
143, 4, 28.8543
144, 0, 31.4062
144, 1, 6.7666
144, 2, 24.6729
144, 3, 18.6620
144, 4, 15.0209
145, 0, 32.3544
145, 1, 17.4063
145, 2, 24.1147
145, 3, 7.8958
145, 4, 38.7040
146, 0, 22.3881
146, 1, 7.9317
146, 2, 31.9757
146, 3, 41.5008
146, 4, 15.6601
147, 0, 15.8518
147, 1, 23.5786
147, 2, 30.2987
147, 3, 9.8454
147, 4, 39.8128
148, 0, 23.7136
148, 1, 16.9723
148, 2, 27.3567
148, 3, 9.6099
148, 4, 35.6145
149, 0, 24.0663
149, 1, 14.4655
149, 2, 37.7664
149, 3, 31.4164
149, 4, 6.2249
150, 0, 21.8253
150, 1, 30.0653
150, 2, 36.7874
150, 3, 6.3376
150, 4, 12.3394
151, 0, 35.5260
151, 1, 9.7385
151, 2, 19.3810
151, 3, 13.3760
151, 4, 28.8069
152, 0, 33.9044
152, 1, 16.1964
152, 2, 6.6630
152, 3, 24.4663
152, 4, 43.4977
153, 0, 30.5108
153, 1, 13.3386
153, 2, 22.7685
153, 3, 6.9911
153, 4, 34.1563
154, 0, 35.0008
154, 1, 14.3946
154, 2, 20.7223
154, 3, 28.9834
154, 4, 7.0730
155, 0, 29.0157
155, 1, 38.4562
155, 2, 6.7198
155, 3, 12.7412
155, 4, 19.4842
156, 0, 7.6731
156, 1, 31.9438
156, 2, 23.6779
156, 3, 20.0362
156, 4, 13.6796
157, 0, 34.3744
157, 1, 6.5731
157, 2, 28.3619
157, 3, 14.3040
157, 4, 21.0226
158, 0, 10.9728
158, 1, 34.2605
158, 2, 26.0062
158, 3, 4.9745
158, 4, 18.6821
159, 0, 21.3596
159, 1, 8.1885
159, 2, 27.6967
159, 3, 37.1251
159, 4, 11.8310
160, 0, 14.7941
160, 1, 33.9747
160, 2, 24.3255
160, 3, 8.4509
160, 4, 30.3343
161, 0, 37.0923
161, 1, 17.9671
161, 2, 43.1135
161, 3, 8.5571
161, 4, 27.4920
162, 0, 16.0634
162, 1, 38.3719
162, 2, 23.7807
162, 3, 10.0766
162, 4, 30.1150
163, 0, 28.8418
163, 1, 13.2287
163, 2, 3.7901
163, 3, 21.4924
163, 4, 38.3764
164, 0, 12.7924
164, 1, 6.7842
164, 2, 22.3832
164, 3, 30.1115
164, 4, 39.6449
165, 0, 38.3773
165, 1, 25.2824
165, 2, 15.7508
165, 3, 6.1562
165, 4, 32.0195
166, 0, 39.8592
166, 1, 30.3225
166, 2, 23.5944
166, 3, 8.1688
166, 4, 17.5906
167, 0, 31.4550
167, 1, 16.0518
167, 2, 38.1866
167, 3, 22.0334
167, 4, 6.5694
168, 0, 8.1575
168, 1, 33.8609
168, 2, 24.4448
168, 3, 41.2102
168, 4, 14.8834
169, 0, 18.2970
169, 1, 28.2834
169, 2, 37.8805
169, 3, 24.6446
169, 4, 8.7634
170, 0, 31.8925
170, 1, 9.9063
170, 2, 3.9075
170, 3, 23.6210
170, 4, 16.2505
171, 0, 40.3526
171, 1, 6.7675
171, 2, 16.3416
171, 3, 33.6074
171, 4, 24.0687
172, 0, 27.6879
172, 1, 18.1789
172, 2, 31.3275
172, 3, 40.7612
172, 4, 9.9377
173, 0, 9.6006
173, 1, 31.9142
173, 2, 38.2587
173, 3, 25.1883
173, 4, 16.9388
174, 0, 13.3187
174, 1, 26.4118
174, 2, 20.0543
174, 3, 34.6926
174, 4, 3.7862
175, 0, 24.5091
175, 1, 16.2262
175, 2, 9.8703
175, 3, 31.8726
175, 4, 41.3077
176, 0, 36.0967
176, 1, 29.3643
176, 2, 9.6599
176, 3, 17.0043
176, 4, 23.0136
177, 0, 30.2718
177, 1, 16.9229
177, 2, 24.2549
177, 3, 6.9644
177, 4, 10.5927
178, 0, 8.6921
178, 1, 15.0430
178, 2, 37.8286
178, 3, 31.8176
178, 4, 24.4691
179, 0, 25.1210
